sample	condition	sample	unit	fq1	fq2
sample_280	T_NA	sample_280	L1	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_D2-280_P7154-P5124_L1_L001_ds.b7208708bcd54bfabcb0e5375b21a71c/280_S13_L001_R1_001.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_D2-280_P7154-P5124_L1_L001_ds.b7208708bcd54bfabcb0e5375b21a71c/280_S13_L001_R2_001.fastq.gz
sample_280	T_NA	sample_280	L2	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_D2-280_P7154-P5124_L2_L002_ds.7869448e03254335a08657d6539951bf/280_S148_L002_R1_001.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_D2-280_P7154-P5124_L2_L002_ds.7869448e03254335a08657d6539951bf/280_S148_L002_R2_001.fastq.gz
sample_280	T_NA	sample_280	L3	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_D2-280_P7154-P5124_L3_L003_ds.532a1269fbb14075b537fda3ab53b934/280_S283_L003_R1_001.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_D2-280_P7154-P5124_L3_L003_ds.532a1269fbb14075b537fda3ab53b934/280_S283_L003_R2_001.fastq.gz
sample_325	T_NA	sample_325	L1	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_C2-325_P7153-P5122_L1_L001_ds.73f1632821144554b435b07243972e2e/325_S14_L001_R1_001.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_C2-325_P7153-P5122_L1_L001_ds.73f1632821144554b435b07243972e2e/325_S14_L001_R2_001.fastq.gz
sample_325	T_NA	sample_325	L2	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_C2-325_P7153-P5122_L2_L002_ds.a6401939b1a948e8a5a69e770168c595/325_S149_L002_R1_001.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_C2-325_P7153-P5122_L2_L002_ds.a6401939b1a948e8a5a69e770168c595/325_S149_L002_R2_001.fastq.gz
sample_325	T_NA	sample_325	L3	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_C2-325_P7153-P5122_L3_L003_ds.f7d82914e089483a88ceafbe44a5f39e/325_S284_L003_R1_001.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_C2-325_P7153-P5122_L3_L003_ds.f7d82914e089483a88ceafbe44a5f39e/325_S284_L003_R2_001.fastq.gz
sample_326	T_NA	sample_326	L1	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_B2-326_P7136-P5170_L1_L001_ds.50f2631a55344170bfb3a7d0c781b00f/326_S15_L001_R1_001.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_B2-326_P7136-P5170_L1_L001_ds.50f2631a55344170bfb3a7d0c781b00f/326_S15_L001_R2_001.fastq.gz
sample_326	T_NA	sample_326	L2	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_B2-326_P7136-P5170_L2_L002_ds.37e8ea945431449e96c6937f2a119b89/326_S150_L002_R1_001.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_B2-326_P7136-P5170_L2_L002_ds.37e8ea945431449e96c6937f2a119b89/326_S150_L002_R2_001.fastq.gz
sample_326	T_NA	sample_326	L3	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_B2-326_P7136-P5170_L3_L003_ds.cf54ba1324fc45279da1fbbf678b8b4a/326_S285_L003_R1_001.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_B2-326_P7136-P5170_L3_L003_ds.cf54ba1324fc45279da1fbbf678b8b4a/326_S285_L003_R2_001.fastq.gz
sample_327	T_NA	sample_327	L1	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_A2-327_P7134-P5135_L1_L001_ds.b5cae8d17ada4a0193920453f711ef1b/327_S16_L001_R1_001.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_A2-327_P7134-P5135_L1_L001_ds.b5cae8d17ada4a0193920453f711ef1b/327_S16_L001_R2_001.fastq.gz
